Instance Init Pivot Neighborhood Cost Time
N-be75eec_150 random first transpose 2110005 2.3e-05
N-be75eec_150 random first exchange 3397099 0.345723
N-be75eec_150 random first insert 3419060 0.346909
N-be75eec_150 random best transpose 2116936 4.2e-05
N-be75eec_150 random best exchange 3370646 0.066511
N-be75eec_150 random best insert 3422308 0.08937
N-be75eec_150 cw first transpose 2159607 0.000303
N-be75eec_150 cw first exchange 3401839 0.401008
N-be75eec_150 cw first insert 3382359 0.315235
N-be75eec_150 cw best transpose 2159017 0.000313
N-be75eec_150 cw best exchange 3357225 0.058403
N-be75eec_150 cw best insert 3416830 0.087187
N-be75eec_250 random first transpose 5668583 7.8e-05
N-be75eec_250 random first exchange 8707547 5.58876
N-be75eec_250 random first insert 8695911 4.46955
N-be75eec_250 random best transpose 5665677 0.000116
N-be75eec_250 random best exchange 8589659 0.847796
N-be75eec_250 random best insert 8661395 0.804609
N-be75eec_250 cw first transpose 5944357 0.001714
N-be75eec_250 cw first exchange 8639409 5.55285
N-be75eec_250 cw first insert 8680900 4.17756
N-be75eec_250 cw best transpose 5943746 0.001488
N-be75eec_250 cw best exchange 8541801 0.700892
N-be75eec_250 cw best insert 8708643 0.811636
N-be75np_150 random first transpose 4809500 3.3e-05
N-be75np_150 random first exchange 7002130 0.356515
N-be75np_150 random first insert 7116303 0.337093
N-be75np_150 random best transpose 4807943 5e-05
N-be75np_150 random best exchange 6937823 0.078286
N-be75np_150 random best insert 7044246 0.088311
N-be75np_150 cw first transpose 4555008 0.000345
N-be75np_150 cw first exchange 6939775 0.327331
N-be75np_150 cw first insert 7044072 0.408039
N-be75np_150 cw best transpose 4568802 0.000328
N-be75np_150 cw best exchange 6955049 0.089451
N-be75np_150 cw best insert 7025812 0.086943
N-be75np_250 random first transpose 11908894 7.8e-05
N-be75np_250 random first exchange 17401607 5.34955
N-be75np_250 random first insert 17437911 4.73255
N-be75np_250 random best transpose 11849453 0.000123
N-be75np_250 random best exchange 17120472 0.799312
N-be75np_250 random best insert 17438981 0.796
N-be75np_250 cw first transpose 11483113 0.001469
N-be75np_250 cw first exchange 17360158 4.99204
N-be75np_250 cw first insert 17447709 4.68926
N-be75np_250 cw best transpose 11481358 0.001556
N-be75np_250 cw best exchange 17262962 0.783349
N-be75np_250 cw best insert 17528335 0.852837
N-be75oi_150 random first transpose 1494458 2.5e-05
N-be75oi_150 random first exchange 2200985 0.381088
N-be75oi_150 random first insert 2212119 0.320996
N-be75oi_150 random best transpose 1494457 3.7e-05
N-be75oi_150 random best exchange 2206582 0.100916
N-be75oi_150 random best insert 2212618 0.087922
N-be75oi_150 cw first transpose 1116968 0.000466
N-be75oi_150 cw first exchange 2206867 0.426025
N-be75oi_150 cw first insert 2213041 0.320221
N-be75oi_150 cw best transpose 1117003 0.000305
N-be75oi_150 cw best exchange 2191096 0.068909
N-be75oi_150 cw best insert 2209449 0.1088
N-be75oi_250 random first transpose 2961478 5.4e-05
N-be75oi_250 random first exchange 5761454 6.04649
N-be75oi_250 random first insert 5784346 4.14169
N-be75oi_250 random best transpose 2974767 0.000105
N-be75oi_250 random best exchange 5743334 0.776318
N-be75oi_250 random best insert 5748063 0.773731
N-be75oi_250 cw first transpose 3557154 0.001461
N-be75oi_250 cw first exchange 5763428 6.01137
N-be75oi_250 cw first insert 5738824 4.59372
N-be75oi_250 cw best transpose 3557390 0.001447
N-be75oi_250 cw best exchange 5750654 0.729257
N-be75oi_250 cw best insert 5765324 0.895591
N-be75tot_150 random first transpose 7763504 3.5e-05
N-be75tot_150 random first exchange 11881492 0.406115
N-be75tot_150 random first insert 11936955 0.329122
N-be75tot_150 random best transpose 7759919 5.9e-05
N-be75tot_150 random best exchange 11788049 0.074405
N-be75tot_150 random best insert 11989949 0.103611
N-be75tot_150 cw first transpose 7946348 0.000307
N-be75tot_150 cw first exchange 11891295 0.397322
N-be75tot_150 cw first insert 11902984 0.37809
N-be75tot_150 cw best transpose 7954600 0.000326
N-be75tot_150 cw best exchange 11899639 0.079872
N-be75tot_150 cw best insert 11874141 0.088456
N-be75tot_250 random first transpose 20410636 7.4e-05
N-be75tot_250 random first exchange 30351180 5.35219
N-be75tot_250 random first insert 30500814 4.48746
N-be75tot_250 random best transpose 20495488 0.000178
N-be75tot_250 random best exchange 29877673 0.804354
N-be75tot_250 random best insert 30318649 0.792896
N-be75tot_250 cw first transpose 20765992 0.001469
N-be75tot_250 cw first exchange 30167177 5.94565
N-be75tot_250 cw first insert 30398049 4.91233
N-be75tot_250 cw best transpose 20768104 0.001731
