Instance	--random --first --transpose	--random --best --transpose	--cw --first --transpose	--cw --best --transpose	--random --first --exchange	--random --best --exchange	--cw --first --exchange	--cw --best --exchange	--random --first --insert	--random --best --insert	--cw --first --insert	--cw --best --insert	--vnd0	--vnd1
N-be75eec_150	2110005	2116936	2786711	2786657	3397099	3370646	3396966	3390494	3419060	3422308	3431531	3426444	3420622	3409495
N-be75eec_250	5668583	5665677	7337320	7338353	8707547	8589659	8656487	8607191	8695911	8661395	8753894	8656866	8733894	8734809
N-be75np_150	4809500	4807943	6075834	6077131	7002130	6937823	6950529	6823998	7116303	7044246	7016717	6993124	7039834	7037060
N-be75np_250	11908894	11849453	14807199	14806974	17401607	17120472	17410354	17201161	17437911	17438981	17455033	17420679	17484069	17440889
N-be75oi_150	1494458	1494457	1934185	1935299	2200985	2206582	2206460	2179239	2212119	2212618	2223030	2207033	2218218	2208143
N-be75oi_250	2961478	2974767	5032895	5032673	5761454	5743334	5760396	5714912	5784346	5748063	5811956	5755968	5784077	5781765
N-be75tot_150	7763504	7759919	9915444	9917729	11881492	11788049	11855529	11817331	11936955	11989949	12029108	12081880	11996920	11972248
N-be75tot_250	20410636	20495488	25718967	25719647	30351180	29877673	30044638	29761329	30500814	30318649	30315734	30112336	30312371	30377588
N-stabu1_150	1827538	1836079	2371937	2375701	2800349	2769345	2791692	2780189	2824108	2815434	2829430	2820215	2841290	2844364
N-stabu1_250	4880794	4871705	6540270	6542171	7551833	7529820	7610892	7524450	7623629	7565869	7596054	7544910	7576630	7607025
N-stabu2_150	2726108	2730307	3507155	3505706	4215338	4231238	4197528	4159195	4259868	4224250	4255714	4247598	4242170	4253640
N-stabu2_250	8062091	8105175	9628765	9631344	11173048	11086653	11207951	11077273	11246083	11282792	11262894	11228075	11196141	11308755
N-stabu3_150	2651712	2647243	3677434	3677376	4398699	4350861	4379297	4348236	4459764	4432284	4413988	4427867	4431958	4434448
N-stabu3_250	7552108	7592894	9911132	9911575	11567513	11549906	11532169	11442051	11751489	11614266	11603474	11609572	11581170	11700277
N-t59b11xx_150	2190795	2197385	2585050	2585170	3173245	3127495	3132950	3111280	3187265	3173655	3184855	3167600	3138065	3158065
N-t59b11xx_250	5591620	5591855	6959720	6960005	8156485	8109395	8186740	8020060	8225225	8146530	8239265	8204410	8221740	8284120
N-t59d11xx_150	944878	945637	1171043	1170919	1420614	1408677	1414828	1406762	1433021	1434708	1441646	1428840	1441714	1430961
N-t59d11xx_250	2676664	2685286	3256840	3257523	3749417	3714911	3741020	3703788	3774817	3782677	3762182	3760870	3771161	3761250
N-t59f11xx_150	1017299	1020804	1252527	1252486	1489560	1490221	1500765	1496990	1514993	1518942	1504730	1503917	1525853	1516282
N-t59f11xx_250	2807380	2812452	3325423	3326323	3867492	3858154	3877756	3846266	3926619	3886358	3906930	3870911	3900332	3895377
N-t59n11xx_150	201789	202344	254275	254280	309357	309362	310390	307889	311760	315761	312709	311957	312944	311976
N-t59n11xx_250	551214	551318	680399	680402	804222	790131	798491	796018	807724	803197	806125	806475	805620	805208
N-t65b11xx_150	4321260	4336920	5326421	5325478	6288862	6155506	6209647	6210781	6357867	6298106	6365257	6350136	6326052	6352170
