Instance Init Pivot Neighborhood Cost Time
N-be75eec_150 random first transpose 2110005 1.7e-05
N-be75eec_150 random first exchange 3397099 0.410559
N-be75eec_150 random first insert 3419060 0.332606
N-be75eec_150 random best transpose 2116936 2.3e-05
N-be75eec_150 random best exchange 3370646 0.075037
N-be75eec_150 random best insert 3422308 0.089354
N-be75eec_150 cw first transpose 2786711 0.000993
N-be75eec_150 cw first exchange 3396966 0.407252
N-be75eec_150 cw first insert 3431531 0.231125
N-be75eec_150 cw best transpose 2786657 0.000956
N-be75eec_150 cw best exchange 3390494 0.105532
N-be75eec_150 cw best insert 3426444 0.081877
N-be75eec_250 random first transpose 5668583 4.2e-05
N-be75eec_250 random first exchange 8707547 5.99365
N-be75eec_250 random first insert 8695911 4.3643
N-be75eec_250 random best transpose 5665677 6.3e-05
N-be75eec_250 random best exchange 8589659 0.87475
N-be75eec_250 random best insert 8661395 0.803517
N-be75eec_250 cw first transpose 7337320 0.004268
N-be75eec_250 cw first exchange 8656487 4.97483
N-be75eec_250 cw first insert 8753894 3.10259
N-be75eec_250 cw best transpose 7338353 0.004248
N-be75eec_250 cw best exchange 8607191 0.693936
N-be75eec_250 cw best insert 8656866 0.773006
N-be75np_150 random first transpose 4809500 1.6e-05
N-be75np_150 random first exchange 7002130 0.427558
N-be75np_150 random first insert 7116303 0.332974
N-be75np_150 random best transpose 4807943 2.3e-05
N-be75np_150 random best exchange 6937823 0.08412
N-be75np_150 random best insert 7044246 0.085151
N-be75np_150 cw first transpose 6075834 0.000981
N-be75np_150 cw first exchange 6950529 0.331707
N-be75np_150 cw first insert 7016717 0.252992
N-be75np_150 cw best transpose 6077131 0.000975
N-be75np_150 cw best exchange 6823998 0.081186
N-be75np_150 cw best insert 6993124 0.080085
N-be75np_250 random first transpose 11908894 7e-05
N-be75np_250 random first exchange 17401607 5.65741
N-be75np_250 random first insert 17437911 5.14367
N-be75np_250 random best transpose 11849453 6.1e-05
N-be75np_250 random best exchange 17120472 0.910052
N-be75np_250 random best insert 17438981 0.831115
N-be75np_250 cw first transpose 14807199 0.004265
N-be75np_250 cw first exchange 17410354 5.06634
N-be75np_250 cw first insert 17455033 2.96111
N-be75np_250 cw best transpose 14806974 0.005245
N-be75np_250 cw best exchange 17201161 0.75944
N-be75np_250 cw best insert 17420679 0.861509
N-be75oi_150 random first transpose 1494458 1.8e-05
N-be75oi_150 random first exchange 2200985 0.454758
N-be75oi_150 random first insert 2212119 0.325792
N-be75oi_150 random best transpose 1494457 2e-05
N-be75oi_150 random best exchange 2206582 0.108609
N-be75oi_150 random best insert 2212618 0.088068
N-be75oi_150 cw first transpose 1934185 0.000959
N-be75oi_150 cw first exchange 2206460 0.358231
N-be75oi_150 cw first insert 2223030 0.229409
N-be75oi_150 cw best transpose 1935299 0.000979
N-be75oi_150 cw best exchange 2179239 0.08797
N-be75oi_150 cw best insert 2207033 0.090741
N-be75oi_250 random first transpose 2961478 3.3e-05
N-be75oi_250 random first exchange 5761454 6.59381
N-be75oi_250 random first insert 5784346 4.19876
N-be75oi_250 random best transpose 2974767 5.8e-05
N-be75oi_250 random best exchange 5743334 0.834265
N-be75oi_250 random best insert 5748063 0.79179
N-be75oi_250 cw first transpose 5032895 0.004947
N-be75oi_250 cw first exchange 5760396 4.83319
N-be75oi_250 cw first insert 5811956 2.91077
N-be75oi_250 cw best transpose 5032673 0.004833
N-be75oi_250 cw best exchange 5714912 0.788589
N-be75oi_250 cw best insert 5755968 0.774293
N-be75tot_150 random first transpose 7763504 1.9e-05
N-be75tot_150 random first exchange 11881492 0.489708
N-be75tot_150 random first insert 11936955 0.329712
N-be75tot_150 random best transpose 7759919 3.2e-05
N-be75tot_150 random best exchange 11788049 0.080637
N-be75tot_150 random best insert 11989949 0.107766
N-be75tot_150 cw first transpose 9915444 0.001233
N-be75tot_150 cw first exchange 11855529 0.36817
N-be75tot_150 cw first insert 12029108 0.305692
N-be75tot_150 cw best transpose 9917729 0.001034
N-be75tot_150 cw best exchange 11817331 0.079339
N-be75tot_150 cw best insert 12081880 0.099108
N-be75tot_250 random first transpose 20410636 3.9e-05
N-be75tot_250 random first exchange 30351180 6.03891
N-be75tot_250 random first insert 30500814 4.5964
N-be75tot_250 random best transpose 20495488 6.2e-05
N-be75tot_250 random best exchange 29877673 0.830321
