Instance Method Cost Time
N-be75eec_150 vnd-tei 3420622 0.229419
N-be75eec_150 vnd-tie 3409495 0.157297
N-be75eec_250 vnd-tei 8733894 2.65471
N-be75eec_250 vnd-tie 8734809 1.71959
N-be75np_150 vnd-tei 7039834 0.226066
N-be75np_150 vnd-tie 7037060 0.147404
N-be75np_250 vnd-tei 17484069 2.17777
N-be75np_250 vnd-tie 17440889 1.67339
N-be75oi_150 vnd-tei 2218218 0.260025
N-be75oi_150 vnd-tie 2208143 0.14242
N-be75oi_250 vnd-tei 5784077 3.31243
N-be75oi_250 vnd-tie 5781765 1.74702
N-be75tot_150 vnd-tei 11996920 0.206126
N-be75tot_150 vnd-tie 11972248 0.144181
N-be75tot_250 vnd-tei 30312371 2.1589
N-be75tot_250 vnd-tie 30377588 1.96199
N-stabu1_150 vnd-tei 2841290 0.236987
N-stabu1_150 vnd-tie 2844364 0.176817
N-stabu1_250 vnd-tei 7576630 1.87212
N-stabu1_250 vnd-tie 7607025 1.81089
N-stabu2_150 vnd-tei 4242170 0.231426
N-stabu2_150 vnd-tie 4253640 0.149021
N-stabu2_250 vnd-tei 11196141 2.04607
N-stabu2_250 vnd-tie 11308755 1.80404
N-stabu3_150 vnd-tei 4431958 0.213883
N-stabu3_150 vnd-tie 4434448 0.1684
N-stabu3_250 vnd-tei 11581170 2.36604
N-stabu3_250 vnd-tie 11700277 1.7532
N-t59b11xx_150 vnd-tei 3138065 0.210644
N-t59b11xx_150 vnd-tie 3158065 0.135181
N-t59b11xx_250 vnd-tei 8221740 2.28202
N-t59b11xx_250 vnd-tie 8284120 1.81632
N-t59d11xx_150 vnd-tei 1441714 0.195377
N-t59d11xx_150 vnd-tie 1430961 0.158543
N-t59d11xx_250 vnd-tei 3771161 1.98102
N-t59d11xx_250 vnd-tie 3761250 1.71302
N-t59f11xx_150 vnd-tei 1525853 0.2165
N-t59f11xx_150 vnd-tie 1516282 0.145976
N-t59f11xx_250 vnd-tei 3900332 2.28526
N-t59f11xx_250 vnd-tie 3895377 1.54776
N-t59n11xx_150 vnd-tei 312944 0.212157
N-t59n11xx_150 vnd-tie 311976 0.15023
N-t59n11xx_250 vnd-tei 805620 2.35971
N-t59n11xx_250 vnd-tie 805208 1.80867
