"","ex-cw-b","ex-cw-f","ex-r-b","ex-r-f","ins-cw-b","ins-cw-f","ins-r-b","ins-r-f","tr-cw-b","tr-cw-f","tr-r-b","tr-r-f"
"ex-cw-b",NA,2.94696952167356e-14,0.00215393200604257,3.71093974525489e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14
"ex-cw-f",2.94696952167356e-14,NA,7.64898317224889e-13,0.0138746798269731,4.75748558044409e-13,2.62529649101783e-14,4.26645120929817e-11,4.1628895276702e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14
"ex-r-b",0.00215393200604257,7.64898317224889e-13,NA,1.39907948557365e-13,1.71516147613848e-14,1.71516147613848e-14,1.92686945445035e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14
"ex-r-f",3.71093974525489e-14,0.0138746798269731,1.39907948557365e-13,NA,3.25908837568831e-11,7.37086683129547e-14,5.43441586240899e-10,3.95897948460669e-13,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14
"ins-cw-b",1.71516147613848e-14,4.75748558044409e-13,1.71516147613848e-14,3.25908837568831e-11,NA,3.79804893010913e-06,0.556714357322217,0.000633627158713599,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14
"ins-cw-f",1.71516147613848e-14,2.62529649101783e-14,1.71516147613848e-14,7.37086683129547e-14,3.79804893010913e-06,NA,8.87828645702679e-06,0.908796023448378,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14
"ins-r-b",1.71516147613848e-14,4.26645120929817e-11,1.92686945445035e-14,5.43441586240899e-10,0.556714357322217,8.87828645702679e-06,NA,3.4881505327101e-05,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14
"ins-r-f",1.71516147613848e-14,4.1628895276702e-14,1.71516147613848e-14,3.95897948460669e-13,0.000633627158713599,0.908796023448378,3.4881505327101e-05,NA,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14
"tr-cw-b",1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,NA,0.0970469929073023,1.71516147613848e-14,1.71516147613848e-14
"tr-cw-f",1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,0.0970469929073023,NA,1.71516147613848e-14,1.71516147613848e-14
"tr-r-b",1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,NA,4.37025382119099e-07
"tr-r-f",1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,1.71516147613848e-14,4.37025382119099e-07,NA
